"unit_id","lab","identifier","framework_version","framework_year","section_heading","locator","unit_type","context_stem","excerpt","paraphrase","modal_register","stated_bar","duplicate_of","removal_candidate","transition_id","prior_unit_id","prior_stated_bar","prior_counterpart_excerpt","prior_modal_register"
"GDM-FSF-v1-0-0011","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Frontier Safety Framework (intro)","bullet 1","bullet","The core components of Responsible Capability Scaling are to:","Identify capability levels at which AI models pose heightened risk without additional mitigations","One component is identifying capability levels that pose heightened risk absent mitigation.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0012","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Frontier Safety Framework (intro)","bullet 2","bullet","The core components of Responsible Capability Scaling are to:","Implement protocols to detect the attainment of such capability levels","Another component is implementing detection protocols for those capability levels.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0013","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Frontier Safety Framework (intro)","bullet 3","bullet","The core components of Responsible Capability Scaling are to:","Prepare and articulate mitigation plans in advance for when such capability levels are attained","A third component is preparing mitigation plans in advance of reaching those capability levels.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0014","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Frontier Safety Framework (intro)","bullet 4","bullet","The core components of Responsible Capability Scaling are to:","Where appropriate, involve external parties in the process to help inform and guide our approach.","Where appropriate, external parties should be involved to inform and guide the approach.","conditional","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0015","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Frontier Safety Framework (intro)","Intro para 5","paragraph","NONE","We are piloting this initial version of the Frontier Safety Framework as a first step to operationalizing these principles.","This initial version is a pilot, the first step toward operationalizing the stated principles.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0016","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Footnotes","fn1","footnote","NONE","See https://www.gov.uk/government/publications/emerging-processes-for-frontier-ai-safety, https://metr.org/blog/2023-09-26-rsp/, https://www.anthropic.com/news/anthropics-responsible-scaling-policy, https://openai.com/preparedness/","Footnote listing external references on frontier AI safety and responsible scaling.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0017","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Framework","Framework intro","paragraph","NONE","This section describes the central components of the Frontier Safety Framework.","This section introduces the Framework's central components.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0018","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","1 - Critical Capability Levels","1","paragraph","NONE","The Framework is built around capability thresholds called ""Critical Capability Levels."" These are capability levels at which, absent mitigation measures, models may pose heightened risk.","The Framework centers on capability thresholds, called CCLs, at which models may pose heightened risk without mitigation.","conditional","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0019","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","1 - Critical Capability Levels","1","paragraph","NONE","We determine CCLs by analyzing several high-risk domains: we identify the main paths through which a model could cause harm, and then define the CCLs as the minimal set of capabilities a model must possess to do so.","CCLs are determined by identifying harm pathways in high-risk domains and defining the minimal capabilities needed to cause that harm.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0020","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","1 - Critical Capability Levels","1","paragraph","NONE","We have conducted preliminary analyses of the Autonomy, Biosecurity, Cybersecurity and Machine Learning R&D domains. Our initial research indicates that powerful capabilities of future models seem most likely to pose risks in these domains.","Preliminary analysis of four domains suggests future model capabilities are most likely to pose risk there.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0021","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","1 - Critical Capability Levels","1","paragraph","NONE","The CCLs we have identified are described below.","The identified CCLs are described later in the document.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0022","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","2 - Evaluating frontier models","2","paragraph","NONE","The capabilities of frontier models are tested periodically to check whether they are approaching a CCL.","Frontier model capabilities are periodically tested to check proximity to a CCL.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0023","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","2 - Evaluating frontier models","2","paragraph","NONE","To do so, we will define a set of evaluations called ""early warning evaluations,"" with a specific ""pass"" condition that flags when a CCL may be reached before the evaluations are run again.","Early warning evaluations will be defined with a pass condition flagging potential CCL attainment before the next evaluation round.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0024","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","2 - Evaluating frontier models","2","paragraph","NONE","We are aiming to evaluate our models every 6x in effective compute and for every 3 months of fine-tuning progress.","The goal is to evaluate models at every 6x increase in effective compute and every 3 months of fine-tuning progress.","aspirational","6x in effective compute; 3 months of fine-tuning progress","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0025","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","2 - Evaluating frontier models","2","paragraph","NONE","To account for the gap between rounds of evaluation, we will design early warning evaluations to give us an adequate safety buffer before a model reaches a CCL.","Early warning evaluations will be designed to provide a safety buffer accounting for gaps between evaluation rounds.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0026","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","3 - Applying mitigations","3","paragraph","NONE","When a model reaches evaluation thresholds (i.e. passes a set of early warning evaluations), we will formulate a response plan based on the analysis of the CCL and evaluation results.","Upon reaching evaluation thresholds, a response plan will be formulated using CCL analysis and evaluation results.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0027","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","3 - Applying mitigations","3","paragraph","NONE","We will also take into account considerations such as additional risks flagged by the review and the deployment context.","Additional considerations like flagged risks and deployment context will also inform the response.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0028","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","3 - Applying mitigations","3","paragraph","NONE","The initial version of the Framework focuses on two categories of mitigations: security mitigations to prevent the exfiltration of model weights, and deployment mitigations (such as safety fine-tuning and misuse filtering, detection, and response) to manage access to and prevent the expression of critical capabilities in deployments.","This version focuses on security mitigations against weight exfiltration and deployment mitigations to control access to critical capabilities.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0029","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","3 - Applying mitigations","3","paragraph","NONE","We have developed frameworks for Security Levels and Deployment Levels to enable calibrating the robustness of mitigations to different CCLs.","Security Levels and Deployment Levels frameworks were developed to calibrate mitigation robustness to different CCLs.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0030","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","3 - Applying mitigations","3","paragraph","NONE","A model may reach evaluation thresholds before mitigations at appropriate levels are ready.","It is possible for a model to reach evaluation thresholds before adequate mitigations are ready.","conditional","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0031","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","3 - Applying mitigations","3","paragraph","NONE","If this happens, we would put on hold further deployment or development, or implement additional protocols (such as the implementation of more precise early warning evaluations for a given CCL) to ensure models will not reach CCLs without appropriate security mitigations, and that models with CCLs will not be deployed without appropriate deployment mitigations.","If mitigations are not ready in time, deployment or development would be paused, or additional protocols implemented, to ensure models do not reach or deploy at CCLs without proper mitigations.","conditional","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0032","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","3 - Applying mitigations","3","paragraph","NONE","Figure 1 depicts the relationship between these components of the Framework.","Figure 1 shows the relationship among the Framework's components.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0033","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Footnotes","fn2","footnote","NONE","""Autonomy"" captures the potential misuse of AI models with significant capacity for agency and flexible action/tool use over long time horizons and across multiple domains.","Footnote defining Autonomy as covering misuse of models with agency and flexible tool use across long horizons and domains.","none","NONE","NONE","true","GDM-FSF-v1-0_v2-0","GDM-FSF-v1-0-0033","NONE","""Autonomy"" captures the potential misuse of AI models with significant capacity for agency and flexible action/tool use over long time horizons and across multiple domains.","none"
"GDM-FSF-v1-0-0034","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Footnotes","fn3","footnote","NONE","Effective compute is a measure of the performance of a foundation model that uses scaling laws to integrate model size, dataset size, algorithmic progress, and compute into a single metric.","Footnote defining effective compute as a scaling-law-based composite metric of model performance factors.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0035","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Footnotes","fn3","footnote","NONE","While there is no direct relationship between effective compute and model size, a rough estimate suggests that a 6x increase in effective compute would correspond to approximately 2-2.5x increase in model size.","Footnote noting a rough correspondence: 6x effective compute increase approximates 2-2.5x model size increase.","none","6x increase in effective compute; 2-2.5x increase in model size","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0036","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Footnotes","fn4","footnote","NONE","More specifically, the early warning evaluations will be a set of model evaluations that we are confident will be passed before the model is 6x in effective compute or 3 months of fine-tuning away from the CCL.","Footnote specifying that early warning evaluations are expected to be passed well before a model is within 6x effective compute or 3 months of fine-tuning from the CCL.","mandatory","6x in effective compute; 3 months of fine-tuning","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0037","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Figure 1 caption","Figure 1","paragraph","NONE","Figure 1: the relationship between different components of the Framework.","Caption for Figure 1 describing the relationship between Framework components.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0038","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Mitigations","Mitigations intro para 1","paragraph","NONE","The Frontier Safety Framework proposes two kinds of mitigations to address models with critical capabilities: security mitigations to prevent the exfiltration of model weights, and deployment mitigations to manage access to/prevent the expression of critical capabilities in deployments.","Two mitigation types are proposed: security mitigations against weight exfiltration and deployment mitigations to manage access to critical capabilities.","none","NONE","GDM-FSF-v1-0-0028","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0039","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Mitigations","Mitigations intro para 1","paragraph","NONE","For each category of mitigation, we have developed several levels of mitigations, allowing us to calibrate the robustness of measures to the risks posed.","Several mitigation levels have been developed per category to calibrate robustness to the risk posed.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0040","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Security Mitigations","Security Mitigations intro","paragraph","NONE","The table below describes levels of security mitigations that may be applied to model weights to prevent their exfiltration.","The following table lists security mitigation levels applicable to model weights to prevent exfiltration.","conditional","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0041","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Security Mitigations","Security Mitigations intro","paragraph","NONE","This is an important measure because the release of model weights may enable the removal of any safeguards trained into or deployed with the model, and hence access (including by bad actors) to any critical capabilities.","Preventing weight exfiltration matters because released weights could allow safeguard removal and access to critical capabilities by bad actors.","conditional","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0042","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Security Mitigations Table","Security Table / Level 0 / Level and capabilities","table_cell","Row: 0: Status quo; Column: Level and capabilities","0: Status quo","Security Level 0 is labeled Status quo.","none","0","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0043","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Security Mitigations Table","Security Table / Level 0 / Measures","table_cell","Row: 0: Status quo; Column: Measures","Industry standard development and enterprise controls. E.g., multi-factor authentication, basic access control mechanisms, secure software development standards, red-team tests.","Level 0 measures include standard industry development and enterprise controls such as MFA, access controls, secure development standards, and red-team tests.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0044","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Security Mitigations Table","Security Table / Level 1 / Level and capabilities","table_cell","Row: 1: Controlled access; Column: Level and capabilities","1: Controlled access. Access Control List hygiene. Non-forgeable lineage of models. Approximately RAND L3.","Security Level 1, Controlled access, involves ACL hygiene and non-forgeable model lineage, approximately RAND L3.","none","RAND L3","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0045","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Security Mitigations Table","Security Table / Level 1 / Measures","table_cell","Row: 1: Controlled access; Column: Measures","Limited access to raw representations of the most valuable models, including isolation of development models from production models. Specific measures include model and checkpoint storage lockdown, SLSA Build L3 for model provenance, and hardening of ML platforms and tools.","Level 1 measures limit access to valuable model representations, isolate development from production, and include storage lockdown, SLSA Build L3 provenance, and ML platform hardening.","none","SLSA Build L3","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0046","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Security Mitigations Table","Security Table / Level 2 / Level and capabilities","table_cell","Row: 2: Lockdown of unilateral access; Column: Level and capabilities","2: Lockdown of unilateral access. Significant restrictions of unilateral access of model weights. Approximately RAND L3-L4.","Security Level 2 significantly restricts unilateral access to model weights, approximately RAND L3-L4.","none","RAND L3-L4","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0047","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Security Mitigations Table","Security Table / Level 2 / Measures","table_cell","Row: 2: Lockdown of unilateral access; Column: Measures","Changes to ML platforms and tools to disallow unilateral access to raw model representations outside the core research team, with exceptions granted on the basis of business need.","Level 2 measures disallow unilateral access to raw model representations outside the core team, except by business-need exception.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0048","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Security Mitigations Table","Security Table / Level 3 / Level and capabilities","table_cell","Row: 3: High-trust developer environments; Column: Level and capabilities","3: High-trust developer environments. For developers with unilateral access to raw models, protection against exfiltration and account compromise. Approximately RAND L4.","Security Level 3 provides protection against exfiltration and account compromise for developers with unilateral raw model access, approximately RAND L4.","none","RAND L4","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0049","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Security Mitigations Table","Security Table / Level 3 / Measures","table_cell","Row: 3: High-trust developer environments; Column: Measures","Models can be accessed only through high-trust developer environments (HTDE), hardened, tamper-resistant workstations with enhanced logging.","Level 3 restricts model access to hardened, tamper-resistant HTDE workstations with enhanced logging.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0050","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Footnotes","fn5","footnote","NONE","See https://www.rand.org/pubs/working_papers/WRA2849-1.html.","Footnote reference to a RAND working paper.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0051","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Security Mitigations Table","Security Table / Level 4 / Level and capabilities","table_cell","Row: 4: Advanced protection; Column: Level and capabilities","4: Advanced protection. Model weights are generally not accessible to humans, even non-unilaterally. Hardened software platforms and confidential-compute hardware make it difficult even for well-funded adversaries to find and exploit vulnerabilities. Approximately RAND L5.","Security Level 4 makes model weights generally inaccessible to humans, using hardened platforms and confidential-compute hardware, approximately RAND L5.","none","RAND L5","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0052","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Security Mitigations Table","Security Table / Level 4 / Measures","table_cell","Row: 4: Advanced protection; Column: Measures","Minimal trusted computing base (TCB). TPUs with confidential compute capabilities. Dedicated hardware pods for training and serving high-value models.","Level 4 measures include a minimal trusted computing base, confidential-compute TPUs, and dedicated hardware pods for high-value models.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0053","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Deployment Mitigations","Deployment Mitigations intro","paragraph","NONE","This table below describes levels of deployment mitigations that may be applied to models and their descendants to manage access to and limit the expression of critical capabilities in deployment.","The following table describes deployment mitigation levels applicable to models and derivatives to manage access to critical capabilities.","conditional","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0054","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Deployment Mitigations","Deployment Mitigations intro","paragraph","NONE","Critical capabilities may have closely associated positive capabilities, misuse of critical capabilities may be more or less difficult to distinguish from beneficial uses, and the overall risks of misuse may differ by deployment context.","Critical capabilities may closely relate to beneficial uses, and misuse risk can vary by deployment context, complicating distinction.","conditional","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0055","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Deployment Mitigations","Deployment Mitigations intro","paragraph","NONE","Because of this, the mitigation options listed below are illustrative and will need to be tailored to different use cases and risks.","The listed mitigation options are illustrative and require tailoring to specific use cases and risks.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0056","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Deployment Mitigations Table","Deployment Table / Level 0 / Level and capabilities","table_cell","Row: 0: Status quo; Column: Level and capabilities","0: Status quo","Deployment Level 0 is labeled Status quo.","none","0","GDM-FSF-v1-0-0042","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0057","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Deployment Mitigations Table","Deployment Table / Level 0 / Measures","table_cell","Row: 0: Status quo; Column: Measures","Safety finetuning of models and filters against general misuse and harmful model behavior.","Level 0 deployment measures consist of safety fine-tuning and filters against general misuse and harmful behavior.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0058","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Deployment Mitigations Table","Deployment Table / Level 1 / Level and capabilities","table_cell","Row: 1: Mitigations targeting the critical capability; Column: Level and capabilities","1: Mitigations targeting the critical capability. Use of the full suite of mitigations to prevent the inappropriate access of critical capabilities.","Deployment Level 1 uses a full mitigation suite to prevent inappropriate access to critical capabilities.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0059","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Deployment Mitigations Table","Deployment Table / Level 1 / Measures","table_cell","Row: 1: Mitigations targeting the critical capability; Column: Measures","Application, where appropriate, of the full suite of prevailing industry safeguards targeting the specific capability, including safety fine-tuning, misuse filtering and detection, and response protocols.","Level 1 measures apply industry-standard safeguards targeting the specific capability, including fine-tuning, filtering, detection, and response.","conditional","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0060","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Deployment Mitigations Table","Deployment Table / Level 1 / Measures","table_cell","Row: 1: Mitigations targeting the critical capability; Column: Measures","Periodic red-teaming to assess the adequacy of mitigations.","Periodic red-teaming assesses whether mitigations remain adequate.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0061","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Deployment Mitigations Table","Deployment Table / Level 2 / Level and capabilities","table_cell","Row: 2: Safety case with red team validation; Column: Level and capabilities","2: Safety case with red team validation. Targeted safeguards, aimed at keeping numbers of incidents below a prespecified amount, with pre-deployment validation by a red-team.","Deployment Level 2 uses targeted safeguards to keep incidents below a prespecified amount, validated by red-teaming before deployment.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0062","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Deployment Mitigations Table","Deployment Table / Level 2 / Measures","table_cell","Row: 2: Safety case with red team validation; Column: Measures","A robustness target is set based on a safety case considering factors like the critical capability and deployment context.","A robustness target is derived from a safety case that considers the capability and deployment context.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0063","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Deployment Mitigations Table","Deployment Table / Level 2 / Measures","table_cell","Row: 2: Safety case with red team validation; Column: Measures","Afterwards, similar mitigations as Level 1 are applied, but deployment takes place only after the robustness of safeguards has been demonstrated to meet the target.","Level 1-like mitigations are applied, but deployment occurs only after safeguards are shown to meet the robustness target.","conditional","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0064","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Deployment Mitigations Table","Deployment Table / Level 2 / Measures","table_cell","Row: 2: Safety case with red team validation; Column: Measures","Some protection against inappropriate internal access of the critical capability, such as automated monitoring and logging of large-scale internal deployments, Security Level 2.","Some internal-access protection is provided, such as automated monitoring/logging of large-scale internal deployments, at Security Level 2.","none","Security Level 2","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0065","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Deployment Mitigations Table","Deployment Table / Level 3 / Level and capabilities","table_cell","Row: 3: Prevention of access; Column: Level and capabilities","3: Prevention of access. Mitigations that allow for high levels of confidence that capabilities cannot be accessed at all.","Deployment Level 3 provides high confidence that capabilities cannot be accessed at all.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0066","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Deployment Mitigations Table","Deployment Table / Level 3 / Measures","table_cell","Row: 3: Prevention of access; Column: Measures","Technical options for this level of deployment safety are currently an open research problem.","Technical means to achieve this level of deployment safety are still an open research problem.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
"GDM-FSF-v1-0-0067","Google DeepMind","GDM-FSF-v1-0","Version 1.0","2024","Deployment Mitigations Table","Deployment Table / Level 3 / Measures","table_cell","Row: 3: Prevention of access; Column: Measures","Highly restricted and monitored internal use, alongside high security.","Level 3 involves highly restricted, monitored internal use combined with high security.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE"
