"unit_id","lab","identifier","framework_version","framework_year","section_heading","locator","unit_type","context_stem","excerpt","paraphrase","modal_register","stated_bar","duplicate_of","removal_candidate","transition_id","prior_unit_id","prior_stated_bar","prior_counterpart_excerpt","prior_modal_register","cosmetic_split"
"ANT-RSP-v1-0-0012","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","fn1","fn1","footnote","NONE","We use the terms “catastrophe” and “catastrophic harm”, throughout the text to refer to events of this magnitude, and “risk of catastrophe” and “catastrophic risk” to refer to risk of these events.","The footnote defines the terminology used for catastrophe-related terms throughout the document.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0013","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Framework","Framework / para 1","paragraph","NONE","Central to our plan is the concept of AI safety levels (ASL), which are modeled loosely after the US government’s biosafety level (BSL) standards for handling of dangerous biological materials.","The framework centers on AI safety levels (ASL), modeled loosely on US biosafety level standards.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0014","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Framework","Framework / para 1","paragraph","NONE","We define a series of AI capability thresholds that represent increasing potential risks, such that each ASL requires more stringent safety, security, and operational measures than the previous one.","Each successive ASL threshold requires progressively stricter safety, security, and operational measures.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0015","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Framework","Framework / para 1","paragraph","NONE","Of course, higher ASL models are also likely to be associated with increasingly powerful beneficial applications (including potentially the ability to prevent catastrophic risks), so our goal is not to prohibit development of these models, but rather to safely enable their use with appropriate precautions.","The goal is not to prohibit higher-ASL model development but to safely enable it with appropriate precautions, given the beneficial applications involved.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0016","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Framework","Framework / bullet 1","bullet","For each ASL, the framework considers two broad classes of risks:","Deployment risks: Risks that arise from active use of powerful AI models. This includes harm caused by users querying an API or other public interface, as well as misuse by internal users (compromised or malicious).","Deployment risks arise from active use of powerful models, including harm from API queries or misuse by internal users.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0017","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Framework","Framework / bullet 1","bullet","For each ASL, the framework considers two broad classes of risks: Deployment risks","Our deployment safety measures are designed to address these risks by governing when we can safely deploy a powerful AI model.","Deployment safety measures govern when a powerful model can be safely deployed.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0018","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Framework","Framework / bullet 2","bullet","For each ASL, the framework considers two broad classes of risks:","Containment risks: Risks that arise from merely possessing a powerful AI model. Examples include (1) building an AI model that, due to its general capabilities, could enable the production of weapons of mass destruction if stolen and used by a malicious actor, or (2) building a model which autonomously escapes during internal use.","Containment risks arise merely from possessing a powerful model, such as enabling WMD production if stolen or a model autonomously escaping during internal use.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0019","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Framework","Framework / bullet 2","bullet","For each ASL, the framework considers two broad classes of risks: Containment risks","Our containment measures are designed to address these risks by governing when we can safely train or continue training a model.","Containment measures govern when it is safe to train or continue training a model.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0020","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Framework","Framework / para 2","paragraph","NONE","Complying with higher ASLs is not just a procedural matter, but may sometimes require research or technical breakthroughs to give affirmative evidence of a model’s safety (which is generally not possible today), demonstrated inability to elicit catastrophic risks during red-teaming (as opposed to merely a commitment to perform red-teaming), and/or unusually stringent information security controls.","Meeting higher ASL requirements may require research breakthroughs, demonstrated red-teaming safety, or very strict security controls, not just procedural compliance.","conditional","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0021","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Framework","Framework / para 2","paragraph","NONE","Anthropic’s commitment to follow the ASL scheme thus implies that we commit to pause the scaling2 and/or delay the deployment of new models whenever our scaling ability outstrips our ability to comply with the safety procedures for the corresponding ASL.","Anthropic commits to pausing scaling and/or delaying deployment whenever its capability growth exceeds its ability to meet the corresponding ASL's safety procedures.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0022","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","fn2","fn2","footnote","NONE","We use ""scaling"" to refer to broadly increasing the capabilities and intelligence of AI systems, either through increasing compute used in training or through algorithmic improvements.","The footnote defines ""scaling"" as increasing AI capabilities via compute or algorithmic improvements.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0023","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Framework","Framework / para 3","paragraph","NONE","One challenge with the ASL scheme as compared to BSL is that ASLs above our current capabilities represent systems that have never been built before – in contrast to BSL, where the highest levels include specific dangerous pathogens that exist today.","Unlike BSL, higher ASL levels describe systems that do not yet exist, unlike known dangerous pathogens in BSL.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0024","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Framework","Framework / para 3","paragraph","NONE","The ASL system thus has an unavoidable component of “building the airplane while flying it”— we will have to start acting on many provisions of this policy before others can reasonably be specified.","The ASL system inherently requires acting on some provisions before others can be fully specified.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0025","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Framework","Framework / para 4","paragraph","NONE","Rather than try to define all future ASLs and their safety measures now (which would almost certainly not stand the test of time), we will instead take an approach of iterative commitments.","Anthropic will use iterative commitments rather than defining all future ASLs upfront.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0026","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Framework","Framework / para 4","paragraph","NONE","By iterative, we mean we will define ASL-2 (current system) and ASL-3 (next level of risk) now, and commit to define ASL-4 by the time we reach ASL-3, and so on.","Iterative means ASL-2 and ASL-3 are defined now, with ASL-4 to be defined by the time ASL-3 is reached, and so forth.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0027","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Framework","Framework / para 5","paragraph","NONE","Towards the end of this document we speculate about ASL-4+, but only to give a flavor of our current thinking and early preparation (which will likely change a lot as we get closer to ASL-4).","Later sections speculate about ASL-4 and beyond only to illustrate current thinking, which is expected to change substantially.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0028","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Framework","Framework / para 6","paragraph","NONE","This document will be periodically updated as we learn more, according to an “Update Process” described below.","The document will be periodically updated per a described Update Process.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0029","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Framework","Framework / para 6","paragraph","NONE","Updates will involve both defining higher ASL levels, and making course corrections to existing levels and safety measures as we learn more.","Updates will define higher ASL levels and revise existing levels and measures.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0030","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Framework","Framework / para 6","paragraph","NONE","We also welcome input on this document from other groups working on AI risk assessment and safety/security measures.","Anthropic welcomes input from other groups working on AI risk assessment and safety measures.","aspirational","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0031","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Sources of Catastrophic Risk","Sources of Catastrophic Risk / para 1","paragraph","NONE","Our current understanding suggests at least two general sources of catastrophic risk from increasingly powerful AI models.","Anthropic identifies at least two general sources of catastrophic risk from increasingly powerful models.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0032","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Sources of Catastrophic Risk","Sources of Catastrophic Risk / para 1","paragraph","NONE","For our initial commitments, we design our evaluations and safety measures with these risks in mind:","Initial commitments' evaluations and safety measures are designed around these two risk sources.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0033","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Sources of Catastrophic Risk","Sources of Catastrophic Risk / bullet 1","bullet","Our current understanding suggests at least two general sources of catastrophic risk:","Misuse: AI systems are dual-use technologies, and so as they become more powerful, there is an increasing risk that they will be used to intentionally cause large-scale harm, for example by helping individuals create CBRN3 or cyber threats.","Misuse risk arises because dual-use AI systems could increasingly help people cause large-scale harm, such as CBRN or cyber threats.","none","NONE","NONE","true","ANT-RSP-v1-0_v2-0","ANT-RSP-v1-0-0033","NONE","Misuse: AI systems are dual-use technologies, and so as they become more powerful, there is an increasing risk that they will be used to intentionally cause large-scale harm, for example by helping individuals create CBRN3 or cyber threats.","none","false"
"ANT-RSP-v1-0-0034","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Sources of Catastrophic Risk","Sources of Catastrophic Risk / bullet 2","bullet","Our current understanding suggests at least two general sources of catastrophic risk:","Autonomy and replication: As AI systems continue to scale, they may become capable of increased autonomy that enables them to proliferate and, due to imperfections in current methods for steering such systems, potentially behave in ways contrary to the intent of their designers or users.","Autonomy and replication risk arises as scaling AI systems may enable increased autonomy and proliferation, with potential to act against designer or user intent due to imperfect steering methods.","none","NONE","NONE","true","ANT-RSP-v1-0_v2-0","ANT-RSP-v1-0-0034","NONE","Autonomy and replication: As AI systems continue to scale, they may become capable of increased autonomy that enables them to proliferate and, due to imperfections in current methods for steering such systems, potentially behave in ways contrary to the intent of their designers or users.","none","false"
"ANT-RSP-v1-0-0035","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Sources of Catastrophic Risk","Sources of Catastrophic Risk / bullet 2","bullet","Autonomy and replication risk description","Such systems could become a source of catastrophic risk even if no one deliberately intends to misuse them.","Autonomy-related risk could produce catastrophe even absent any deliberate misuse.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0036","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Sources of Catastrophic Risk","Sources of Catastrophic Risk / para 2","paragraph","NONE","We are likely to revise and refine these ideas as our understanding of AI systems develops.","Anthropic expects to revise these risk categorizations as understanding improves.","aspirational","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0037","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Initial Commitments","Initial Commitments / para 1","paragraph","NONE","Our initial responsible scaling commitments consist of the following elements, which are visualized below and expanded on in the rest of this document.","The initial commitments consist of several elements, visualized and explained further in the document.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0038","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Initial Commitments","Initial Commitments / item 1","numbered","Our initial responsible scaling commitments consist of the following elements:","ASL-2: The security and safety measures we commit to take with current state-of-the-art models, many of which we have previously committed to.","ASL-2 comprises security and safety measures for current state-of-the-art models, several of which were previously committed to.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0039","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Initial Commitments","Initial Commitments / item 2","numbered","Our initial responsible scaling commitments consist of the following elements:","ASL-3: A set of dangerous capabilities we think could arise in near-future models, along with the Containment Measures we commit to implement before training such a model, and the Deployment Measures we commit to take before deploying it.","ASL-3 defines dangerous capabilities anticipated in near-future models plus the containment measures required before training and deployment measures required before deploying such models.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0040","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","fn3","fn3","footnote","NONE","CBRN refers to the chemical, biological, radiological, and nuclear domains. We use it mostly to refer to threats in those domains.","The footnote defines CBRN as chemical, biological, radiological, and nuclear domains.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0041","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","fn3","fn3","footnote","NONE","We acknowledge that some of these domains will become more or less relevant for evaluation over time.","The footnote notes that CBRN domain relevance for evaluation may shift over time.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0042","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Initial Commitments","Initial Commitments / item 3","numbered","Our initial responsible scaling commitments consist of the following elements:","ASL-4 iterative commitment: We commit to define ASL-4 evaluations before we first train ASL-3 models (i.e. before continuing training beyond when ASL-3 evaluations are triggered).","Anthropic commits to defining ASL-4 evaluations before beginning training of ASL-3 models.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0043","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Initial Commitments","Initial Commitments / item 3","numbered","Our initial responsible scaling commitments consist of the following elements: ASL-4 iterative commitment","Similarly, we commit to define ASL-5 evaluations before training ASL-4 models, and so forth.","Anthropic will similarly define ASL-5 evaluations before training ASL-4 models, continuing this pattern.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0044","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Initial Commitments","Initial Commitments / item 4","numbered","Our initial responsible scaling commitments consist of the following elements:","Evaluation protocol: A protocol for when and how to evaluate models for dangerous capabilities, ensuring we detect warning signs before models require higher ASL safety measures.","An evaluation protocol specifies when and how to test models for dangerous capabilities to catch warning signs early.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0045","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Initial Commitments","Initial Commitments / item 4","numbered","Our initial responsible scaling commitments consist of the following elements: Evaluation protocol","We commit to pause training before a model's capability level outstrips the Containment Measures we have implemented.","Anthropic commits to pausing training before a model's capability exceeds implemented containment measures.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0046","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Initial Commitments","Initial Commitments / item 5","numbered","Our initial responsible scaling commitments consist of the following elements:","Procedural commitments: A set of transparency and procedural measures to ensure verifiable compliance with the commitments in the previous bullet points.","Procedural commitments are transparency and procedural measures ensuring verifiable compliance with the other commitments.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0047","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Initial Commitments","Initial Commitments / item 5","numbered","Our initial responsible scaling commitments consist of the following elements: Procedural commitments","Notably, we commit to a formal process for modifying the current safety levels in response to new information, and defining future levels.","Anthropic commits to a formal process for modifying current safety levels and defining future levels.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0048","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Initial Commitments","Initial Commitments / para 2","paragraph","NONE","The scheme above is designed to ensure that we will always have a set of safety guardrails that govern training and deployment of our next model, without having to define all ASLs at the outset.","The scheme ensures ongoing safety guardrails for the next model without requiring all ASLs to be predefined.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0049","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Initial Commitments","Initial Commitments / para 2","paragraph","NONE","Near the bottom of this document, we do provide a guess about higher ASLs, but we emphasize that these are so speculative that they are likely to bear little resemblance to the final version.","Speculation about higher ASLs later in the document is expected to differ substantially from the eventual final version.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0050","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Initial Commitments","Initial Commitments / para 2","paragraph","NONE","Our hope is that the broad ASL framework can scale to extremely powerful AI, even though the actual content of the higher ASLs will need to be developed over time.","Anthropic hopes the ASL framework itself can scale to very powerful AI even as higher-level content is developed later.","aspirational","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0051","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Table: AI Safety Level Framework Overview","Table / ASL-1 / Dangerous Capabilities","table_cell","Row: ASL-1. Column: Dangerous Capabilities.","Models which manifestly and obviously pose no risk of catastrophe. For example, an LLM from 2018, or an AI system trained only to play chess.","ASL-1 models manifestly pose no catastrophic risk, exemplified by a 2018 LLM or a chess-only AI.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0052","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Table: AI Safety Level Framework Overview","Table / ASL-1 / Containment Measures","table_cell","Row: ASL-1. Column: Containment Measures Required to store model weights.","None","No containment measures are required at ASL-1.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0053","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Table: AI Safety Level Framework Overview","Table / ASL-1 / Deployment Measures","table_cell","Row: ASL-1. Column: Deployment Measures Required for internal/external use.","None","No deployment measures are required at ASL-1.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0054","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Table: AI Safety Level Framework Overview","Table / ASL-2 / Dangerous Capabilities","table_cell","Row: ASL-2 (Our current safety level). Column: Dangerous Capabilities.","No capabilities likely to cause catastrophe, although early indications of these capabilities. For example, an AI system that can provide bioweapon-related information that couldn’t be found via a search engine, but does so too unreliably to be useful in practice.","ASL-2 models show early but not yet actionable signs of catastrophic capability, such as unreliable bioweapon-related information beyond search engine availability.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0055","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Table: AI Safety Level Framework Overview","Table / ASL-2 / Containment Measures","table_cell","Row: ASL-2 (We are currently preparing these measures). Column: Containment Measures Required to store model weights.","Evaluate for ASL-3 warning signs when training, using methods and Evaluation Protocol described below.","During training, ASL-2 requires evaluating for ASL-3 warning signs using the described methods.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0056","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Table: AI Safety Level Framework Overview","Table / ASL-2 / Containment Measures","table_cell","Row: ASL-2. Column: Containment Measures Required to store model weights.","Harden security against opportunistic attackers.","ASL-2 containment requires hardening security against opportunistic attackers.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0057","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Table: AI Safety Level Framework Overview","Table / ASL-2 / Deployment Measures","table_cell","Row: ASL-2. Column: Deployment Measures Required for internal/external use.","Follow current deployment best practices e.g. model cards, acceptable use policies, misuse escalation procedures, vulnerability reporting, harm refusal techniques, T&S tooling, and partner safety evaluation.","ASL-2 deployment requires following current best practices, including model cards, acceptable use policies, misuse escalation, vulnerability reporting, harm refusal techniques, T&S tooling, and partner safety evaluation.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0058","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Table: AI Safety Level Framework Overview","Table / ASL-2 / Deployment Measures","table_cell","Row: ASL-2. Column: Deployment Measures Required for internal/external use.","These overlap significantly with our White House voluntary commitments.","ASL-2 deployment measures largely overlap with the White House voluntary commitments.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0059","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Table: AI Safety Level Framework Overview","Table / ASL-3 / Dangerous Capabilities","table_cell","Row: ASL-3 (We are currently preparing these measures). Column: Dangerous Capabilities.","Low-level autonomous capabilities or Access to the model would substantially increase the risk of catastrophic misuse, either by proliferating capabilities, lowering costs, or enabling new methods of attack, as compared to a non-LLM baseline of risk.","ASL-3 covers low-level autonomous capabilities or model access that substantially raises catastrophic misuse risk relative to a non-LLM baseline.","none","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0060","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Table: AI Safety Level Framework Overview","Table / ASL-3 / Containment Measures","table_cell","Row: ASL-3. Column: Containment Measures Required to store model weights.","Harden security such that non-state attackers are unlikely to be able to steal model weights and advanced threat actors (e.g. states) cannot steal them without significant expense.","ASL-3 containment requires security hardened so non-state attackers cannot easily steal weights and state actors face significant costs to do so.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0061","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Table: AI Safety Level Framework Overview","Table / ASL-3 / Containment Measures","table_cell","Row: ASL-3. Column: Containment Measures Required to store model weights.","Evaluate for ASL-4 warning signs when training, likely similar to but much more involved than the methods described below.","ASL-3 containment requires evaluating for ASL-4 warning signs during training, using more involved methods than described for ASL-3.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0062","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Table: AI Safety Level Framework Overview","Table / ASL-3 / Containment Measures","table_cell","Row: ASL-3. Column: Containment Measures Required to store model weights.","Implement internal compartmentalization for training techniques and model hyperparameters.","ASL-3 containment requires internal compartmentalization of training techniques and hyperparameters.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
"ANT-RSP-v1-0-0063","Anthropic","ANT-RSP-v1-0","Version 1.0","2023","Table: AI Safety Level Framework Overview","Table / ASL-3 / Deployment Measures","table_cell","Row: ASL-3. Column: Deployment Measures Required for internal/external use.","Implement strong misuse prevention measures, including internal usage controls, automated detection, a vulnerability disclosure process, and maximum jailbreak response times.","ASL-3 deployment requires strong misuse prevention, including internal usage controls, automated detection, vulnerability disclosure, and maximum jailbreak response times.","mandatory","NONE","NONE","false","NONE","NONE","NONE","NONE","NONE","NONE"
